name;time;label
01.wav;0;-0.68
01.wav;0.5;-0.29
01.wav;1;-0.88
01.wav;1.5;-0.11
01.wav;2;-0.12
01.wav;2.5;-0.35
01.wav;3;0.83
01.wav;3.5;-0.01
01.wav;4;0.42
01.wav;4.5;0.33
01.wav;5;0.66
01.wav;5.5;-0.48
01.wav;6;0.54
01.wav;6.5;-0.18
01.wav;7;-0.89
01.wav;7.5;0.74
01.wav;8;0.94
01.wav;8.5;-0.77
01.wav;9;0.02
01.wav;9.5;0.51
01.wav;10;-0.78
01.wav;10.5;-0.93
01.wav;11;-0.12
01.wav;11.5;-0.74
01.wav;12;0.94
02.wav;0;0.88
02.wav;0.5;0.87
02.wav;1;0.97
02.wav;1.5;0.39
02.wav;2;0.40
02.wav;2.5;-0.26
02.wav;3;-0.87
02.wav;3.5;-0.11
02.wav;4;0.09
02.wav;4.5;0.08
02.wav;5;0.57
02.wav;5.5;0.20
02.wav;6;0.89
02.wav;6.5;0.26
02.wav;7;0.76
02.wav;7.5;-0.75
02.wav;8;0.63
02.wav;8.5;0.96
02.wav;9;-0.54
02.wav;9.5;0.83
02.wav;10;0.35
02.wav;10.5;0.45
02.wav;11;0.37
02.wav;11.5;0.59
02.wav;12;0.06
03.wav;0;0.51
03.wav;0.5;0.01
03.wav;1;0.81
03.wav;1.5;-0.75
03.wav;2;0.70
03.wav;2.5;-0.65
03.wav;3;0.53
03.wav;3.5;-0.08
03.wav;4;0.21
03.wav;4.5;-0.27
03.wav;5;-0.20
03.wav;5.5;0.46
03.wav;6;0.91
03.wav;6.5;0.76
03.wav;7;0.22
03.wav;7.5;0.94
03.wav;8;0.27
03.wav;8.5;0.55
03.wav;9;0.80
03.wav;9.5;-0.55
03.wav;10;-0.80
03.wav;10.5;0.66
03.wav;11;-0.15
03.wav;11.5;0.45
03.wav;12;0.87
04.wav;0;-0.41
04.wav;0.5;-0.38
04.wav;1;0.10
04.wav;1.5;0.11
04.wav;2;0.28
04.wav;2.5;0.19
04.wav;3;-0.68
04.wav;3.5;-0.16
04.wav;4;-0.26
04.wav;4.5;-0.84
04.wav;5;-0.53
04.wav;5.5;0.99
04.wav;6;0.82
04.wav;6.5;0.58
04.wav;7;-0.73
04.wav;7.5;0.10
04.wav;8;-0.89
04.wav;8.5;0.35
04.wav;9;0.64
04.wav;9.5;0.82
04.wav;10;-0.71
04.wav;10.5;-0.39
04.wav;11;0.56
04.wav;11.5;-0.03
04.wav;12;0.10
05.wav;0;0.76
05.wav;0.5;0.98
05.wav;1;-0.96
05.wav;1.5;-0.30
05.wav;2;0.07
05.wav;2.5;0.50
05.wav;3;0.94
05.wav;3.5;0.39
05.wav;4;-0.45
05.wav;4.5;0.90
05.wav;5;0.82
05.wav;5.5;-0.09
05.wav;6;0.47
05.wav;6.5;0.12
05.wav;7;0.99
05.wav;7.5;-0.22
05.wav;8;0.76
05.wav;8.5;0.79
05.wav;9;-0.23
05.wav;9.5;0.46
05.wav;10;0.83
05.wav;10.5;0.81
05.wav;11;-0.84
05.wav;11.5;-0.93
05.wav;12;0.14
06.wav;0;-0.98
06.wav;0.5;-0.60
06.wav;1;-0.96
06.wav;1.5;0.58
06.wav;2;-0.62
06.wav;2.5;0.90
06.wav;3;0.54
06.wav;3.5;0.63
06.wav;4;-0.15
06.wav;4.5;-0.40
06.wav;5;0.36
06.wav;5.5;0.72
06.wav;6;0.74
06.wav;6.5;0.79
06.wav;7;0.69
06.wav;7.5;-0.03
06.wav;8;-0.02
06.wav;8.5;-0.87
06.wav;9;-0.09
06.wav;9.5;0.19
06.wav;10;-0.78
06.wav;10.5;-0.31
06.wav;11;-0.47
06.wav;11.5;0.16
06.wav;12;-0.13
07.wav;0;-0.17
07.wav;0.5;-0.89
07.wav;1;-0.48
07.wav;1.5;-0.51
07.wav;2;0.42
07.wav;2.5;0.32
07.wav;3;-0.76
07.wav;3.5;-0.74
07.wav;4;-0.84
07.wav;4.5;0.47
07.wav;5;0.11
07.wav;5.5;0.67
07.wav;6;-0.79
07.wav;6.5;-0.49
07.wav;7;-0.89
07.wav;7.5;0.31
07.wav;8;-0.45
07.wav;8.5;0.42
07.wav;9;-0.74
07.wav;9.5;0.05
07.wav;10;-0.91
07.wav;10.5;-0.80
07.wav;11;-0.06
07.wav;11.5;0.42
07.wav;12;0.20
08.wav;0;-0.59
08.wav;0.5;0.24
08.wav;1;0.40
08.wav;1.5;-0.37
08.wav;2;0.61
08.wav;2.5;-0.64
08.wav;3;-0.52
08.wav;3.5;0.19
08.wav;4;0.74
08.wav;4.5;0.64
08.wav;5;0.18
08.wav;5.5;-1.00
08.wav;6;0.89
08.wav;6.5;0.58
08.wav;7;-0.20
08.wav;7.5;0.75
08.wav;8;0.35
08.wav;8.5;-0.52
08.wav;9;-0.66
08.wav;9.5;0.72
08.wav;10;-0.35
08.wav;10.5;-0.35
08.wav;11;-0.20
08.wav;11.5;0.53
08.wav;12;-0.67
09.wav;0;0.38
09.wav;0.5;0.29
09.wav;1;0.64
09.wav;1.5;-0.24
09.wav;2;-0.78
09.wav;2.5;0.72
09.wav;3;0.43
09.wav;3.5;0.15
09.wav;4;0.48
09.wav;4.5;0.51
09.wav;5;0.11
09.wav;5.5;0.60
09.wav;6;0.34
09.wav;6.5;0.07
09.wav;7;0.37
09.wav;7.5;0.91
09.wav;8;0.26
09.wav;8.5;0.64
09.wav;9;-0.62
09.wav;9.5;0.50
09.wav;10;-0.56
09.wav;10.5;-0.17
09.wav;11;0.58
09.wav;11.5;-0.20
09.wav;12;-0.91
10.wav;0;-0.60
10.wav;0.5;-0.91
10.wav;1;0.28
10.wav;1.5;-0.50
10.wav;2;-0.16
10.wav;2.5;-0.66
10.wav;3;0.77
10.wav;3.5;-0.32
10.wav;4;-0.59
10.wav;4.5;0.59
10.wav;5;-0.95
10.wav;5.5;-0.92
10.wav;6;0.06
10.wav;6.5;0.87
10.wav;7;0.20
10.wav;7.5;0.20
10.wav;8;0.29
10.wav;8.5;0.84
10.wav;9;-0.56
10.wav;9.5;0.77
10.wav;10;-0.90
10.wav;10.5;0.62
10.wav;11;-0.93
10.wav;11.5;-0.17
10.wav;12;0.19
