@relation 'random1.csv'

@attribute name string
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric

@data
'sample1.wav',6.973131,3.834816,3.043618,2.104685,4.868912,5.720279,1.488886,3.805506,2.668732,5.393242,6.614763,4.969657,4.739458,3.134582
'sample1.wav',3.079105,0.333539,3.958364,2.730261,4.197056,3.231505,4.069436,3.120017,1.651382,4.888341,6.267342,5.594221,6.483090,3.530762
'sample1.wav',7.011050,4.914753,3.493995,1.461890,2.262598,5.951345,2.845190,3.759098,3.129521,5.784218,4.542880,6.610039,6.060851,4.151657
'sample1.wav',5.605967,3.855393,2.747999,4.161864,4.988530,2.741355,4.853863,6.085984,5.141502,5.171189,3.492134,4.547757,3.714797,3.440081
'sample1.wav',2.931873,4.830779,5.188039,2.894800,4.007475,2.231308,2.843100,4.845448,5.407805,2.892575,4.440725,3.421198,5.749382,3.678320
'sample1.wav',3.836662,2.710351,2.322532,5.440674,2.479109,2.083887,2.219797,5.108256,3.015647,2.266336,5.632796,5.542562,5.598423,3.916427
'sample1.wav',5.178579,1.348055,2.820937,3.136496,0.688999,2.427693,4.975499,6.283673,2.256217,4.533096,5.932760,6.290495,2.328913,6.652965
'sample1.wav',7.231705,1.443358,3.409406,5.457729,1.097265,5.665430,3.150673,4.268524,4.422400,1.802591,7.075512,6.967731,4.470223,4.809133
'sample1.wav',7.268614,3.938402,1.129912,2.125007,4.191604,6.476891,4.861381,6.864125,4.290243,5.687870,5.716712,6.468744,3.451407,4.082198
'sample1.wav',3.232236,5.110245,1.977625,4.988507,1.654990,2.638490,3.960088,6.779385,4.785442,4.194591,4.402578,4.041565,4.915746,3.208140
'sample1.wav',7.297135,1.927060,1.413219,5.295265,3.729891,5.544778,0.709403,4.197426,2.874903,5.164478,4.687038,2.441808,4.454834,5.623147
'sample1.wav',7.230006,3.907821,1.314689,3.139340,0.835417,1.786944,1.580715,6.752078,1.022655,4.241203,3.893762,5.042032,2.772484,3.842381
'sample1.wav',4.871049,0.693774,5.272166,3.948157,3.693406,2.223924,1.218036,2.812751,5.694712,2.130513,4.540588,5.428629,5.975253,3.655119
'sample1.wav',6.445573,3.128758,0.987734,1.462356,0.304523,2.587643,2.228884,6.868617,3.261513,1.660360,5.673819,3.442665,5.189422,3.915150
'sample1.wav',3.153603,2.296507,5.015964,2.256773,3.608001,6.281556,2.663408,5.128230,5.321061,5.401809,6.208467,5.265018,4.610141,4.550774
'sample1.wav',4.552977,3.797121,3.357122,3.972716,0.644731,4.403079,4.361070,3.195231,5.234626,2.025405,5.805009,5.975923,6.379420,5.512874
'sample1.wav',7.022849,1.449412,1.389371,3.606756,4.956277,1.810396,4.053083,5.576283,5.204101,1.565480,6.857996,5.328249,2.200455,6.736304
'sample1.wav',6.405208,0.617570,3.273017,5.574129,3.001544,6.037307,3.073323,3.441147,2.791664,4.207467,3.872970,5.331185,3.382346,5.544070
'sample1.wav',7.241633,2.398349,3.817997,4.320323,1.383769,6.405591,2.749964,7.279620,2.776597,3.585843,5.457080,3.547412,4.789622,6.725027
'sample1.wav',5.722875,3.343904,1.271869,3.502122,2.196071,4.068534,1.650453,6.316691,3.974833,3.569889,6.558539,6.041096,4.434182,2.549904
'sample1.wav',2.622729,0.803725,5.711909,4.177872,4.688615,3.819037,3.605810,3.410692,4.213408,5.804731,5.564335,3.552290,5.572018,2.919117
'sample1.wav',6.689818,2.407644,4.085883,1.435661,2.575479,4.753568,3.294597,3.720678,2.368227,2.055240,5.931571,6.900588,4.287513,5.684827
'sample1.wav',7.114137,3.404529,3.126449,1.207895,0.356543,2.805811,4.037110,5.142183,1.414418,5.227951,4.879307,4.203849,6.569007,6.534036
'sample1.wav',5.837847,4.278523,5.139579,4.761678,3.331609,5.157272,4.495021,4.141618,1.002434,4.621707,2.455266,4.333341,6.706487,5.995714
'sample1.wav',6.232872,1.683916,2.134934,2.622643,2.281913,6.559492,0.287284,5.994898,1.640025,5.853027,4.992391,3.875054,5.279867,3.018773
'sample1.wav',6.159833,2.155349,4.940603,1.336312,0.771895,2.472106,3.232634,3.190737,2.560471,4.066799,3.114661,3.480037,4.491490,4.593368
'sample1.wav',4.405306,4.564688,2.465665,5.620143,3.912193,4.808453,1.146511,6.531288,1.066108,2.264999,4.708674,6.861193,5.936560,4.944657
'sample1.wav',5.721561,3.646429,5.527291,1.275662,2.692362,4.863486,4.478871,4.154799,4.560725,2.533585,6.874952,3.675351,3.041451,6.648992
'sample1.wav',3.300104,1.352893,2.041329,1.343572,0.475524,4.837166,4.796050,3.488325,3.112845,4.369053,2.709046,3.389106,6.350667,6.620605
'sample1.wav',5.974401,3.942690,5.606339,3.871531,4.538356,6.590604,4.391328,3.963979,2.918746,3.138117,6.960754,2.339321,5.518412,2.853928
'sample1.wav',2.603335,1.598160,3.374913,3.199852,4.376809,3.589100,0.349083,7.534901,1.359063,3.052809,6.420839,3.574098,6.055916,3.303653
'sample1.wav',3.828786,1.530725,3.643688,1.140703,0.317552,2.963152,2.791151,3.702379,5.044599,1.401303,2.399555,2.668023,2.482948,4.708734
'sample1.wav',2.675028,0.174070,5.789369,1.252355,3.236334,3.943573,1.974166,7.208267,5.532890,5.094923,6.168594,5.823798,4.741258,4.363895
'sample1.wav',2.929830,2.017087,4.675708,2.196623,4.482376,2.226401,0.505691,3.488491,5.010835,2.444969,3.489158,3.417050,6.298695,2.044191
'sample1.wav',6.561460,2.328195,2.389798,1.640365,1.774669,3.445054,1.396340,5.038350,1.485059,4.587615,2.208622,6.305195,6.013300,2.946604
'sample1.wav',5.918314,1.665024,1.110152,4.155503,3.369650,5.581275,0.450374,7.368492,1.748089,5.000502,3.889877,5.897687,2.272927,3.293118
'sample1.wav',4.029668,1.597833,1.041158,3.385930,2.308357,3.180107,1.311766,3.360593,4.869325,4.900245,5.280525,3.375200,4.661112,2.035845
'sample1.wav',7.195281,1.356113,4.885509,1.553845,2.270448,5.307900,4.832251,6.608050,2.793153,5.329487,3.927469,5.559461,6.863400,5.039618
'sample1.wav',2.616401,4.826949,2.881155,3.181017,0.121208,4.879919,4.188633,6.002747,5.358988,4.958463,4.684010,2.577280,5.872491,3.616636
'sample1.wav',4.637893,4.444483,2.741605,5.513251,4.343141,5.851358,0.345394,6.337693,4.039155,4.480635,7.111022,5.681488,3.109247,4.638284
'sample1.wav',4.351963,2.129673,3.436421,3.833029,4.725163,4.257581,4.995780,3.560718,2.133201,1.753060,5.710613,5.317154,3.877928,2.898407
'sample1.wav',6.271755,2.540627,5.281533,4.657077,2.429923,3.561576,4.805286,4.524273,4.990099,6.255043,6.492174,6.522277,2.566791,6.648747
'sample1.wav',6.420171,2.968512,2.850392,5.908659,2.885210,4.750756,0.384665,6.222943,3.634754,3.348529,4.250341,3.933566,2.450952,4.665982
'sample1.wav',3.378534,2.591628,3.842733,3.944903,5.000031,4.678331,1.802653,4.747861,1.910289,1.637951,4.440658,2.921939,3.585694,5.038811
'sample1.wav',4.892993,1.492590,1.294806,3.519666,2.056726,4.332303,3.737656,3.910140,5.220988,4.964314,2.788318,2.995661,5.653478,1.876725
'sample1.wav',4.672102,5.092232,2.500695,3.661827,1.135259,5.305088,0.312342,7.092992,2.008356,6.256595,2.576444,4.297431,3.988610,4.325257
'sample1.wav',5.675736,1.061910,1.544998,4.035295,4.368536,3.536096,1.369267,6.155682,3.903089,4.002896,4.526471,3.780762,6.212949,3.433473
'sample1.wav',5.990995,4.451815,2.045191,4.825444,3.481168,2.263239,1.687730,6.082220,2.129202,4.223749,6.769162,3.718834,4.881721,5.197700
'sample1.wav',6.217604,0.306694,2.715647,4.006979,0.893400,3.489141,4.325046,2.836735,5.412184,2.030108,4.353249,2.585676,5.318249,2.460482
'sample1.wav',3.824296,1.803321,2.172387,4.616788,0.081172,5.708428,2.764195,5.915375,4.082380,4.441301,3.671395,4.671838,4.602892,1.908286
'sample1.wav',5.842684,3.887266,1.898785,3.179934,0.881439,6.143050,0.732479,2.963185,1.619258,3.988420,3.338692,2.323244,2.388913,4.500873
'sample1.wav',5.719661,3.365364,3.989444,4.236482,1.067992,3.388101,0.851564,6.371388,2.066469,2.680124,6.818985,4.672023,3.882788,3.992625
'sample1.wav',3.257230,0.989721,4.819367,1.887336,4.544164,1.734045,2.177758,7.604405,4.823060,4.546678,3.831189,2.288474,4.163366,5.250621
'sample1.wav',3.039159,4.904557,1.863359,5.386239,3.581752,1.798446,0.951620,6.194996,5.251928,6.229188,6.462525,4.003098,2.220910,6.744477
'sample1.wav',4.935991,2.859883,5.302070,2.262310,0.695703,5.902741,4.877318,6.406544,3.666341,3.807488,6.768708,5.019300,5.511983,3.527063
'sample1.wav',7.242891,1.400599,4.549336,2.786280,2.162076,6.352325,0.804250,5.578980,5.385964,2.284242,3.804967,6.777620,3.419869,3.756562
'sample1.wav',4.146100,3.036393,3.502718,2.520588,3.343286,5.468059,1.293944,7.426510,5.638740,4.420234,3.473540,2.183439,6.907004,5.574173
'sample1.wav',5.370510,4.720914,5.670615,5.842657,1.647968,6.483543,0.288783,3.156357,2.393586,4.673476,4.748313,3.662456,2.350250,5.435044
'sample1.wav',3.563231,4.621514,3.645205,1.965317,3.023237,4.118118,4.608998,7.257226,3.394560,3.533691,5.111447,5.393487,2.003419,6.761482
'sample1.wav',6.200506,2.556064,1.909238,1.493181,1.089289,4.429246,3.759553,5.131532,2.865422,1.680261,4.940844,3.754584,2.925770,4.022452
