@relation 'random2.csv'

@attribute name string
@attribute timestamp numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric

@data
01.wav,0.000000,3.066190,0.486641,4.537990,2.771350,7.363481,2.934865,2.754766,5.831805,6.138306,3.054642
01.wav,0.020000,2.786364,0.884124,4.425026,2.133365,3.547650,5.293631,3.005989,5.975479,4.186686,2.268173
01.wav,0.040000,5.366629,3.369901,1.594755,1.261403,5.950909,6.345350,2.579459,5.964725,3.507686,3.580943
01.wav,0.060000,5.295450,1.768593,2.232879,3.850700,5.938220,5.016901,2.690933,2.831949,5.725839,2.678926
01.wav,0.080000,1.410608,0.466742,4.632193,4.159087,4.075297,5.364692,2.479175,2.424832,2.603700,4.236368
01.wav,0.100000,0.982571,4.811207,3.010845,1.600359,6.619516,5.176743,4.673150,2.877801,6.946550,3.433423
01.wav,0.120000,4.191409,1.671846,1.556053,3.874472,2.424784,4.251120,5.527689,5.333685,5.341199,3.853151
01.wav,0.140000,1.497813,4.514878,4.748670,2.859084,5.144782,3.569811,5.061849,5.150712,4.022770,2.587303
01.wav,0.160000,2.863598,1.705055,4.581632,1.185205,2.809781,5.873460,6.244199,5.674336,3.024318,4.489515
01.wav,0.180000,4.258684,4.049845,2.781258,4.316684,3.473568,7.172948,3.828512,5.568553,3.089398,5.270900
01.wav,0.200000,3.419294,0.451201,2.305633,1.510448,6.942353,5.998294,6.354311,2.362346,5.509467,5.206949
01.wav,0.220000,3.543290,2.091622,4.793687,1.654773,6.950185,3.399551,3.546384,3.678905,4.839326,4.971351
01.wav,0.240000,4.642445,3.915858,0.682822,4.343175,2.661742,6.224062,2.029173,1.611462,3.813263,3.791252
01.wav,0.260000,5.086161,1.987507,2.876110,4.232279,3.831456,6.297209,1.969376,5.886026,6.799244,5.948055
01.wav,0.280000,5.400965,2.283564,0.949246,1.519561,4.203691,7.336626,3.618435,2.839058,5.756597,5.318143
01.wav,0.300000,3.309620,0.925789,0.519979,1.635287,7.327597,5.383916,2.664408,4.273064,4.150925,2.131157
01.wav,0.320000,5.189726,4.982617,0.614905,4.890819,6.280166,4.115179,2.676548,5.330791,2.543128,2.138485
01.wav,0.340000,1.554646,2.122847,4.674350,5.099503,4.442326,3.502115,2.008615,2.892099,6.244060,2.261918
01.wav,0.360000,2.151721,1.394293,0.482645,1.931976,4.201705,6.693078,4.970768,3.213427,6.004073,3.814540
01.wav,0.380000,4.319501,4.324400,3.189586,5.078656,3.050202,7.023818,2.616781,3.735964,3.855909,5.650976
01.wav,0.400000,5.808297,5.085393,2.231009,1.942981,5.789984,2.770809,5.389207,4.005143,2.829339,3.071964
01.wav,0.420000,1.033666,2.210165,0.272352,2.841719,5.582135,4.681009,2.939644,3.617183,2.336726,2.925838
01.wav,0.440000,1.302443,2.475408,4.912102,5.159926,6.756602,5.148118,4.953201,3.972006,2.299091,4.758719
01.wav,0.460000,0.982341,4.571054,3.282245,3.320505,3.629012,3.103022,4.358132,3.463882,4.245404,5.041578
01.wav,0.480000,4.294598,4.262890,3.063169,4.470567,3.898847,3.745275,1.746903,6.192105,2.157683,4.961609
01.wav,0.500000,3.865625,2.887916,3.635983,1.310956,4.817993,3.096130,4.586067,5.702140,6.121429,1.391680
01.wav,0.520000,0.888920,3.791523,4.848385,5.327542,2.643956,2.825954,2.444006,3.841512,2.472541,5.257688
01.wav,0.540000,1.381364,4.125932,4.371442,3.168063,6.672005,6.256688,1.732004,5.102167,5.005009,4.403623
01.wav,0.560000,5.305890,1.742787,1.836628,4.386713,4.639406,6.647430,5.311814,3.406383,6.742287,2.853450
01.wav,0.580000,2.259077,4.571210,1.808781,1.732065,2.542694,5.073569,4.867347,1.423398,5.669613,5.986872
01.wav,0.600000,5.671265,4.534791,2.890314,1.531405,2.967039,4.313290,3.359320,3.951485,1.985550,1.904147
01.wav,0.620000,4.418930,2.650630,4.305302,4.204168,6.782270,2.631931,5.941844,3.844976,2.064086,4.408869
01.wav,0.640000,4.708296,1.111992,0.897004,5.251202,7.086720,6.452773,3.684264,2.098810,6.902900,3.671638
01.wav,0.660000,3.295755,3.161218,3.228501,0.908021,3.026516,4.372694,2.916728,2.651662,4.427226,4.341631
01.wav,0.680000,5.739768,2.079071,2.024515,4.361039,5.279147,2.703934,6.476290,4.872126,5.863080,1.860542
01.wav,0.700000,1.912967,4.062612,2.163772,4.715767,3.850461,2.846993,4.737364,2.034690,5.413862,4.348132
01.wav,0.720000,5.817053,2.486435,4.186297,1.768376,2.829193,2.788992,5.323443,3.369733,1.965372,3.463590
