@relation text

@attribute name string
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute text string
@attribute class {pos,neg}

@data
'1',-0.082494,-1.933,-0.43897,-1.7947,'This is so good',pos
'2',0.84038,-0.88803,0.10009,-0.54453,'I really like that',pos
'3',0.30352,-0.60033,0.48997,0.73936,'Oh no',neg
'4',1.7119,-0.19412,-2.1384,-0.83959,'This is so bad',neg
'5',1.3546,-1.0722,0.96095,0.12405,'I'm happy',pos
'6',1.4367,-1.9609,-0.1977,-1.2078,'I really like it',pos
'7',2.908,0.82522,1.379,-1.0582,'Oh my god',neg
'8',-0.46862,-0.27247,1.0984,-0.27787,'I'm tired',neg
'9',0.70154,-2.0518,-0.35385,-0.82359,'Oh no',neg
'10',-1.5771,0.50797,0.28198,0.03348,'This is so bad',neg
'11',-1.3337,1.1275,0.35018,-0.29907,'I'm happy',pos
'12',0.02289,-0.262,-1.7502,-0.28565,'I really like it',pos
'13',-0.83137,-0.97921,-1.1564,-0.53356,'This is so good',pos
'14',-2.0026,0.96423,0.52006,-0.020028,'I really like that',pos
'15',-0.034771,-0.79816,1.0187,-0.13322,'Oh no',neg
'16',-0.71453,1.3514,-0.22477,-0.58903,'This is so bad',neg
'17',-0.29375,-0.84793,-1.1201,2.526,'I'm happy',pos
'18',1.6555,0.30754,-1.2571,-0.86547,'I really like it',pos
'19',-0.17653,0.79142,-1.332,-2.3299,'Oh my god',neg
'20',-1.4491,0.33351,0.39135,0.45168,'I'm tired',neg
'21',-0.13028,0.18369,-0.47615,0.86202,'Oh no',neg
'22',-1.3617,0.45503,-0.84871,-0.33489,'This is so bad',neg
'23',0.55278,1.0391,-1.1176,1.2607,'I'm happy',pos
'24',0.66014,-0.067866,-0.19522,-0.21761,'I really like it',pos
