@relation example1

@attribute name string
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric

@data
'sample01',6.361668e+000,9.658471e+000,3.082912e+001,1.107511e+001,2.451441e+001,-1.406096e+001,-7.852533e+000,2.349577e+001,8.062302e+000,7.054852e+000,1.000270e+001,5.618787e+000,1.321239e+001,1.345970e+000
'sample01',5.958027e+000,1.352456e+001,2.514435e+001,1.246653e+001,2.074943e+001,-4.062007e+000,-1.514510e+000,1.827408e+001,1.104669e+001,1.155061e+001,9.224250e+000,8.544461e+000,1.266887e+001,6.849666e-001
'sample01',4.111446e+000,1.770211e+001,2.131193e+001,1.475443e+001,1.828861e+001,9.310691e+000,5.866983e+000,1.387698e+001,1.437866e+001,9.456004e+000,7.123452e+000,1.191582e+001,1.006628e+001,3.030522e+000
'sample01',2.072146e+000,1.489297e+001,1.549214e+001,1.274230e+001,1.346718e+001,1.906491e+001,1.512757e+001,1.123226e+001,1.553047e+001,7.767990e+000,7.008905e+000,1.174170e+001,1.114725e+001,2.975588e+000
'sample01',1.277790e+000,1.296336e+001,1.618597e+001,1.378065e+001,1.678886e+001,2.234316e+001,1.792773e+001,1.220076e+001,1.276829e+001,6.493425e+000,8.858608e+000,1.087796e+001,1.434032e+001,9.777637e+000
'sample01',3.526208e+000,1.325300e+001,1.701871e+001,1.544313e+001,1.654835e+001,2.240578e+001,1.848995e+001,1.545564e+001,1.467036e+001,1.567699e+001,1.381279e+001,6.292158e+000,1.262335e+001,6.573757e+000
'sample01',3.696635e+000,1.309231e+001,1.924148e+001,1.665750e+001,1.793466e+001,2.278092e+001,1.591244e+001,2.057794e+001,1.706782e+001,1.564557e+001,1.223009e+001,3.463567e+000,1.232665e+001,6.313578e+000
'sample01',2.886400e+000,1.446098e+001,1.846144e+001,1.522522e+001,1.295976e+001,1.766780e+001,1.156305e+001,1.603280e+001,1.958018e+001,1.066249e+001,2.877158e+000,1.713372e+000,1.013885e+001,-3.143977e+000
'sample01',4.957643e-001,8.998879e+000,1.503651e+001,6.021057e+000,5.188907e+000,1.372661e+001,4.694871e+000,8.997437e+000,1.322762e+001,1.281281e+000,-1.712900e+000,6.160805e-001,1.161909e+001,-1.740143e+000
'sample01',-2.146155e+000,1.926077e+000,1.542153e+001,-6.709979e+000,3.777020e+000,7.012474e+000,9.137612e+000,-3.017265e+000,6.210990e+000,2.482310e+000,3.662446e+000,5.276453e+000,1.269273e+001,-2.774824e+000
